card_number,prompt,score
#001,Can't Hold Water (Can't Keep a Secret),3
#002,Thinks "winging it" is a personality trait,2
#003,Would snitch on the whole squad for a McChicken and a Frosty,2
#004,Can't Hold in a Laugh to Save their life,1
#005,Can't enjoy anything unless it feels exclusive,2
#028,Accidentally likes a 5 year old picture when stalking on social media,2
#036,Waves back at someone who wasn't actually waving at them,1
#040,Calls stealing "borrowing",2
#055,Shows up 2 hours late to their own party,2
#059,"""Where my hug at?""",3
#067,Brings nothing but napkins to the cookout,1
#077,Got absolutely NOOO rizz,3
#078,Leaves you on read,2
#083,Should not be allowed near knives,3
#084,Never tips,2
#086,Eats food off the ground,2
#089,Drops silent but deadly farts,3
#109,Joins a cult because the vibes were good,2
#116,Thinks speed limits are suggestions,2
#142,Watches true crime to "wind down",2
#159,Is in crippling Aura Debt,3
#185,Says "I don't like drama" but is up in everyone's business,2
#209,Runs on dino nuggets and Capri Suns,2
#230,Unc,2
#247,Venmo Requests you for $1.78,2
